proper_colour_name,proper_colour,x,y,latitude,longitude
green,"[96, 184, 23]",1861,598,53.37476538024671,-6.206469283179048
green,"[96, 184, 23]",1823,598,53.374766345209984,-6.210589756828481
green,"[96, 184, 23]",1811,598,53.37476664993523,-6.211890959033566
green,"[96, 184, 23]",1671,598,53.37477020506309,-6.2270716514262165
green,"[96, 184, 23]",1646,598,53.37477083990736,-6.229782489353476
green,"[96, 184, 23]",1595,598,53.37477213498965,-6.235312598725085
green,"[96, 184, 23]",898,598,53.37478983444765,-6.31089076013707
green,"[96, 184, 23]",797,598,53.374792399218464,-6.3218425453631975
green,"[96, 184, 23]",2127,585,53.37560070538783,-6.177624989129096
green,"[96, 184, 23]",1849,585,53.37560776485602,-6.207769506880218
yellow,"[235, 52, 0]",1798,585,53.37560905993831,-6.213299616251827
yellow,"[235, 52, 0]",1785,585,53.37560939005733,-6.214709251974001
green,"[96, 184, 23]",1722,585,53.37561098986487,-6.221540563550694
green,"[96, 184, 23]",1709,585,53.37561131998388,-6.222950199272869
green,"[96, 184, 23]",1671,585,53.37561228494716,-6.227070672922303
yellow,"[235, 52, 0]",1646,585,53.37561291979142,-6.229781510849562
green,"[96, 184, 23]",898,585,53.37563191433172,-6.310889781633157
yellow,"[235, 52, 0]",860,585,53.375632879295,-6.315010255282591
green,"[96, 184, 23]",797,585,53.37563447910254,-6.321841566859284
green,"[96, 184, 23]",759,585,53.37563544406581,-6.325962040508718
green,"[96, 184, 23]",2254,573,53.37637478488736,-6.163853029224237
green,"[96, 184, 23]",2089,573,53.376378974859485,-6.181744559544147
yellow,"[235, 52, 0]",2051,573,53.37637993982276,-6.185865033193581
green,"[96, 184, 23]",2039,573,53.37638024454801,-6.187166235398665
green,"[96, 184, 23]",1684,573,53.37638925933652,-6.225660133965746
yellow,"[235, 52, 0]",1646,573,53.3763902242998,-6.22978060761518
green,"[96, 184, 23]",1633,573,53.37639055441881,-6.2311902433373545
green,"[96, 184, 23]",1354,573,53.37639763928077,-6.261443194605567
yellow,"[235, 52, 0]",860,573,53.376410183803365,-6.315009352048208
green,"[96, 184, 23]",822,573,53.37641114876664,-6.319129825697642
green,"[96, 184, 23]",797,573,53.376411783610905,-6.321840663624902
green,"[96, 184, 23]",771,573,53.376412443848935,-6.324659935069251
green,"[96, 184, 23]",2241,560,53.37721719489044,-6.165261686442498
red,"[235, 52, 0]",2229,560,53.37721749961569,-6.166562888647582
green,"[96, 184, 23]",1937,560,53.37722491459666,-6.198225475637969
yellow,"[235, 52, 0]",1925,560,53.37722521932191,-6.199526677843053
yellow,"[235, 52, 0]",1583,560,53.3772339039914,-6.236610940687959
green,"[96, 184, 23]",1519,560,53.37723552919271,-6.243550685781742
green,"[96, 184, 23]",822,560,53.37725322865072,-6.319128847193729
green,"[96, 184, 23]",809,560,53.37725355876973,-6.320538482915903
green,"[96, 184, 23]",797,560,53.37725386349498,-6.321839685120987
green,"[96, 184, 23]",759,560,53.377254828458256,-6.325960158770421
green,"[96, 184, 23]",746,560,53.37725515857727,-6.327369794492596
green,"[96, 184, 23]",733,560,53.377255488696285,-6.328779430214771
green,"[96, 184, 23]",2153,547,53.37806150942631,-6.174802857442535
green,"[96, 184, 23]",2064,547,53.378063769471886,-6.184453440463578
yellow,"[235, 52, 0]",2001,547,53.37806536927942,-6.191284752040271
green,"[96, 184, 23]",1925,547,53.37806729920597,-6.199525699339139
green,"[96, 184, 23]",1849,547,53.37806922913253,-6.207766646638008
yellow,"[235, 52, 0]",1836,547,53.37806955925154,-6.209176282360182
green,"[96, 184, 23]",1671,547,53.37807374922368,-6.227067812680093
green,"[96, 184, 23]",1113,547,53.37808791894759,-6.287573715216517
green,"[96, 184, 23]",835,547,53.37809497841577,-6.317718232967639
yellow,"[235, 52, 0]",809,547,53.3780956386538,-6.320537504411989
green,"[96, 184, 23]",797,547,53.37809594337904,-6.321838706617074
yellow,"[235, 52, 0]",771,547,53.378096603617074,-6.324657978061423
green,"[96, 184, 23]",759,547,53.37809690834232,-6.325959180266508
yellow,"[235, 52, 0]",2229,535,53.37883688400813,-6.166561006909285
green,"[96, 184, 23]",2153,535,53.378838813934685,-6.174801954208154
yellow,"[235, 52, 0]",2064,535,53.378841073980254,-6.1844525372291965
green,"[96, 184, 23]",2292,522,53.37967736408466,-6.159728716828679
green,"[96, 184, 23]",2191,522,53.379679928855474,-6.170680502054806
green,"[96, 184, 23]",2178,522,53.379680258974496,-6.17209013777698
green,"[96, 184, 23]",1937,522,53.37968637887317,-6.198222615395759
green,"[96, 184, 23]",1747,522,53.37969120368955,-6.218824983642929
yellow,"[235, 52, 0]",1671,522,53.37969313361611,-6.227065930941796
green,"[96, 184, 23]",1659,522,53.37969343834136,-6.228367133146881
yellow,"[235, 52, 0]",2330,509,53.38051847900545,-6.15560726467533
green,"[96, 184, 23]",2305,509,53.38051911384972,-6.15831810260259
green,"[96, 184, 23]",1887,509,53.380529728445765,-6.203643312746363
yellow,"[235, 52, 0]",1684,509,53.380534883381166,-6.225655316715708
green,"[96, 184, 23]",847,509,53.38055613796704,-6.3164141705203445
green,"[96, 184, 23]",2241,497,53.3812980435594,-6.165256944461991
green,"[96, 184, 23]",2064,497,53.38130253825676,-6.1844496769869854
yellow,"[235, 52, 0]",1747,497,53.381310588082,-6.218823101904632
green,"[96, 184, 23]",987,497,53.38132988734754,-6.301232574893311
green,"[96, 184, 23]",2368,484,53.38213689843462,-6.1514849092876
green,"[96, 184, 23]",1912,484,53.38214847799394,-6.200930593080807
green,"[96, 184, 23]",1849,484,53.38215007780149,-6.2077619046575006
green,"[96, 184, 23]",1773,484,53.38215200772803,-6.216002851956368
green,"[96, 184, 23]",1621,484,53.38215586758114,-6.232484746554104
green,"[96, 184, 23]",974,484,53.38217229735062,-6.302641232111572
green,"[96, 184, 23]",2165,471,53.38298413325408,-6.173495934753031
green,"[96, 184, 23]",2001,471,53.38298829783244,-6.191279031555851
green,"[96, 184, 23]",2279,459,53.38375854287263,-6.161133610570347
yellow,"[235, 52, 0]",2254,459,53.38375917771689,-6.163844448497605
green,"[96, 184, 23]",2191,459,53.38376077752443,-6.170675760074299
green,"[96, 184, 23]",2153,459,53.38376174248771,-6.1747962337237325
green,"[96, 184, 23]",1975,459,53.383766262578845,-6.194097399765818
green,"[96, 184, 23]",1899,459,53.3837681925054,-6.202338347064687
green,"[96, 184, 23]",1608,459,53.3837755820926,-6.233892500537983
green,"[96, 184, 23]",1570,459,53.383776547055874,-6.238012974187416
green,"[96, 184, 23]",2216,446,53.38460222256423,-6.167963943643126
yellow,"[235, 52, 0]",2178,446,53.38460318752751,-6.17208441729256
yellow,"[235, 52, 0]",2216,433,53.38544430244831,-6.167962965139211
green,"[96, 184, 23]",1988,433,53.38545009222796,-6.192685807035815
green,"[96, 184, 23]",1544,433,53.38546136706205,-6.240830288623938
green,"[96, 184, 23]",2381,421,53.38621741698455,-6.150070531584919
green,"[96, 184, 23]",2292,421,53.38621967703012,-6.159721114605961
green,"[96, 184, 23]",1481,421,53.38624027137796,-6.247660696966249
yellow,"[235, 52, 0]",1405,421,53.38624220130451,-6.255901644265117
green,"[96, 184, 23]",1240,421,53.38624639127664,-6.273793174585028
green,"[96, 184, 23]",1988,408,53.3870694766204,-6.192683925297519
yellow,"[235, 52, 0]",1975,408,53.38706980673943,-6.194093561019693
yellow,"[235, 52, 0]",1709,408,53.38707656148236,-6.222936876565732
green,"[96, 184, 23]",1608,408,53.38707912625318,-6.233888661791859
green,"[96, 184, 23]",1595,408,53.38707945637219,-6.235298297514033
green,"[96, 184, 23]",1468,408,53.38708268138104,-6.24906935418451
green,"[96, 184, 23]",1430,408,53.38708364634432,-6.253189827833944
green,"[96, 184, 23]",1151,408,53.38709073120627,-6.283442779102156
green,"[96, 184, 23]",1659,395,53.38791991105495,-6.228357573916336
green,"[96, 184, 23]",1595,395,53.387921536256265,-6.235297319010119
green,"[96, 184, 23]",1493,395,53.38792412642085,-6.246357537753337
green,"[96, 184, 23]",1468,395,53.38792476126511,-6.249068375680596
green,"[96, 184, 23]",1379,395,53.38792702131068,-6.258718958701639
green,"[96, 184, 23]",1481,383,53.38870173565447,-6.247657836724039
green,"[96, 184, 23]",1392,383,53.388703995700034,-6.2573084197450815
green,"[96, 184, 23]",1621,370,53.38954026041067,-6.232476165827474
orange,"[235, 52, 0]",1519,370,53.38954285057526,-6.243536384570691
green,"[96, 184, 23]",1278,357,53.390391050358005,-6.269667883685555
