proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[235, 52, 0]",999,1599,53.30994711860352,-6.300014319712326
orange,"[235, 52, 0]",987,1599,53.309947423328765,-6.30131552191741
yellow,"[235, 52, 0]",974,1599,53.30994775344778,-6.302725157639585
yellow,"[235, 52, 0]",1760,1587,53.31070509845258,-6.217495509972174
green,"[96, 184, 23]",1747,1587,53.3107054285716,-6.218905145694349
green,"[96, 184, 23]",1481,1587,53.310712183314536,-6.247748461240387
yellow,"[235, 52, 0]",1468,1587,53.31071251343355,-6.249158096962561
yellow,"[235, 52, 0]",1455,1587,53.310712843552565,-6.250567732684736
green,"[96, 184, 23]",1443,1587,53.31071314827781,-6.251868934889821
green,"[96, 184, 23]",1430,1587,53.31071347839683,-6.253278570611996
green,"[96, 184, 23]",1405,1587,53.31071411324109,-6.2559894085392544
yellow,"[235, 52, 0]",1392,1587,53.310714443360105,-6.25739904426143
red,"[235, 52, 0]",1379,1587,53.31071477347912,-6.258808679983604
green,"[96, 184, 23]",1367,1587,53.31071507820437,-6.260109882188688
yellow,"[235, 52, 0]",1354,1587,53.31071540832338,-6.261519517910863
yellow,"[235, 52, 0]",1341,1587,53.3107157384424,-6.262929153633039
green,"[96, 184, 23]",1329,1587,53.31071604316764,-6.264230355838122
yellow,"[235, 52, 0]",1316,1587,53.31071637328666,-6.265639991560297
green,"[96, 184, 23]",1303,1587,53.31071670340568,-6.267049627282472
yellow,"[235, 52, 0]",1291,1587,53.31071700813092,-6.268350829487557
green,"[96, 184, 23]",1265,1587,53.31071766836895,-6.271170100931906
green,"[96, 184, 23]",1253,1587,53.31071797309419,-6.272471303136991
green,"[96, 184, 23]",1240,1587,53.310718303213214,-6.273880938859165
green,"[96, 184, 23]",1227,1587,53.31071863333223,-6.27529057458134
yellow,"[235, 52, 0]",1215,1587,53.31071893805747,-6.276591776786424
green,"[96, 184, 23]",1202,1587,53.31071926817649,-6.278001412508599
yellow,"[235, 52, 0]",1189,1587,53.31071959829551,-6.279411048230774
green,"[96, 184, 23]",1177,1587,53.31071990302075,-6.280712250435858
green,"[96, 184, 23]",1164,1587,53.31072023313977,-6.282121886158033
green,"[96, 184, 23]",1151,1587,53.31072056325878,-6.283531521880208
green,"[96, 184, 23]",1139,1587,53.31072086798402,-6.284832724085292
red,"[235, 52, 0]",1126,1587,53.310721198103046,-6.286242359807467
yellow,"[235, 52, 0]",1113,1587,53.31072152822206,-6.287651995529642
green,"[96, 184, 23]",1101,1587,53.3107218329473,-6.288953197734727
green,"[96, 184, 23]",1088,1587,53.31072216306632,-6.290362833456901
green,"[96, 184, 23]",1075,1587,53.31072249318534,-6.291772469179076
green,"[96, 184, 23]",1063,1587,53.31072279791058,-6.29307367138416
yellow,"[235, 52, 0]",1050,1587,53.31072312802959,-6.294483307106335
green,"[96, 184, 23]",1037,1587,53.310723458148615,-6.29589294282851
green,"[96, 184, 23]",1025,1587,53.310723762873856,-6.297194145033594
red,"[235, 52, 0]",1012,1587,53.31072409299287,-6.298603780755768
green,"[96, 184, 23]",999,1587,53.31072442311189,-6.300013416477944
red,"[235, 52, 0]",987,1587,53.31072472783713,-6.301314618683028
yellow,"[235, 52, 0]",1836,1574,53.31154524841009,-6.209253584169392
green,"[96, 184, 23]",1798,1574,53.31154621337337,-6.213374057818826
