proper_colour_name,proper_colour,x,y,latitude,longitude
green,"[96, 184, 23]",1659,1447,53.31977621582106,-6.228436757463842
yellow,"[205, 220, 57]",1633,1447,53.31977687605909,-6.231256028908192
yellow,"[205, 220, 57]",1583,1447,53.31977814574761,-6.23667770476271
yellow,"[205, 220, 57]",1481,1447,53.3197807359122,-6.247737923505928
yellow,"[205, 220, 57]",1430,1447,53.31978203099449,-6.2532680328775365
red,"[235, 52, 0]",1405,1447,53.31978266583875,-6.255978870804795
orange,"[255, 152, 0]",1202,1447,53.31978782077415,-6.27799087477414
red,"[235, 52, 0]",1189,1447,53.31978815089317,-6.279400510496314
yellow,"[205, 220, 57]",1177,1447,53.319788455618415,-6.280701712701399
yellow,"[205, 220, 57]",1139,1447,53.31978942058169,-6.284822186350834
yellow,"[205, 220, 57]",1050,1447,53.31979168062726,-6.294472769371876
red,"[235, 52, 0]",1037,1447,53.31979201074628,-6.2958824050940505
yellow,"[205, 220, 57]",974,1447,53.319793610553816,-6.302713716670744
yellow,"[205, 220, 57]",860,1447,53.31979650544365,-6.315075137619045
yellow,"[205, 220, 57]",847,1447,53.31979683556266,-6.31648477334122
green,"[96, 184, 23]",733,1447,53.319799730452495,-6.328846194289523
yellow,"[205, 220, 57]",721,1447,53.31980003517774,-6.330147396494606
yellow,"[205, 220, 57]",670,1447,53.319801330260034,-6.335677505866215
green,"[96, 184, 23]",645,1447,53.3198019651043,-6.338388343793475
red,"[235, 52, 0]",1861,1435,53.3205483907878,-6.206532283777206
red,"[235, 52, 0]",1823,1435,53.32054935575108,-6.21065275742664
red,"[235, 52, 0]",1811,1435,53.32054966047632,-6.211953959631725
yellow,"[205, 220, 57]",1633,1435,53.32055418056746,-6.23125512567381
red,"[235, 52, 0]",1608,1435,53.320554815411725,-6.233965963601069
yellow,"[205, 220, 57]",1531,1435,53.32055677073205,-6.242315344417027
red,"[235, 52, 0]",1519,1435,53.320557075457295,-6.243616546622111
yellow,"[205, 220, 57]",1481,1435,53.32055804042057,-6.247737020271545
yellow,"[205, 220, 57]",1455,1435,53.3205587006586,-6.250556291715895
yellow,"[205, 220, 57]",1367,1435,53.3205609353104,-6.260098441219848
red,"[235, 52, 0]",1316,1435,53.320562230392696,-6.265628550591456
yellow,"[205, 220, 57]",1240,1435,53.32056416031925,-6.273869497890324
yellow,"[205, 220, 57]",1177,1435,53.32056576012679,-6.280700809467017
yellow,"[205, 220, 57]",1126,1435,53.32056705520908,-6.286230918838625
yellow,"[205, 220, 57]",1101,1435,53.32056769005335,-6.288941756765885
yellow,"[205, 220, 57]",1088,1435,53.32056802017236,-6.29035139248806
green,"[96, 184, 23]",999,1435,53.32057028021793,-6.300001975509103
yellow,"[205, 220, 57]",911,1435,53.32057251486973,-6.309544125013055
yellow,"[205, 220, 57]",898,1435,53.320572844988746,-6.310953760735229
yellow,"[205, 220, 57]",873,1435,53.320573479833,-6.313664598662489
yellow,"[205, 220, 57]",847,1435,53.32057414007104,-6.316483870106838
yellow,"[205, 220, 57]",835,1435,53.32057444479628,-6.317785072311922
yellow,"[205, 220, 57]",784,1435,53.32057573987858,-6.323315181683531
green,"[96, 184, 23]",759,1435,53.32057637472283,-6.32602601961079
yellow,"[205, 220, 57]",721,1435,53.32057733968611,-6.330146493260225
yellow,"[205, 220, 57]",708,1435,53.32057766980513,-6.331556128982399
yellow,"[205, 220, 57]",683,1435,53.32057830464939,-6.3342669669096585
yellow,"[205, 220, 57]",657,1435,53.320578964887424,-6.337086238354008
yellow,"[205, 220, 57]",632,1435,53.32057959973168,-6.339797076281267
yellow,"[205, 220, 57]",1785,1422,53.32139240059842,-6.21477225257216
orange,"[255, 152, 0]",1697,1422,53.32139463525022,-6.2243144020761125
